# Column descriptions:
# id	Object ID, according to EcoCyc
# protein-count-avg	A floating point number
# protein-count-std	A floating point number
# protein-concentration-avg	A floating point number in mM units
# protein-concentration-std	A floating point number in mM units
# relative-protein-count-to-protein-rna-counts	A floating point number
# relative-protein-mass-to-total-protein-mass	A floating point number
# relative-protein-mass-to-total-cell-dry-mass	A floating point number
# validation-count	A floating point number
id	protein-count-avg	protein-count-std	protein-concentration-avg	protein-concentration-std	relative-protein-count-to-protein-rna-counts	relative-protein-mass-to-total-protein-mass	relative-protein-mass-to-total-cell-dry-mass	validation-count
EG10021-MONOMER	225.03917501430004	164.07136323967427	0.00025972935809307623	0.0001780867894459505	660.0281200745092	0.00006367878207274285	0.00002790294836634133	72.0
ISOCIT-LYASE-MONOMER	5577.981066936451	2245.656157317626	0.0064533865114808405	0.002358766105010136	1067.526999619773	0.0021039747196355822	0.0009219255779580651	6.0
MALATE-SYNTHASE	1528.5654372355	653.3471035772351	0.0017662165209761085	0.0006858157850208959	292.5404111905155	0.0007312980786853957	0.00032044225510866915	1090.0
E1P-MONOMER	3347.1376733563084	994.239170708502	0.003836574442911956	0.0007503033424782145	861.8442101776254	0.002647949012868218	0.0011602857683170491	NaN
E2P-MONOMER	3377.811493780241	1015.8981042657127	0.0038719187763587614	0.0007810065847525745	869.7423180884023	0.0017720832694392695	0.0007764964460459797	NaN
ICITDEHASE-KIN-PHOSPHA	13.918527369584556	8.09357739949194	0.00001605498757082458	8.728659552645303e-6	18.996691069220834	7.4798682490143035e-6	3.2775497700452835e-6	1533.0
ACETATEKINA-MONOMER	2109.5066187352036	654.9637294975739	0.002424228234042918	0.0005316128682363385	1455.8717487995457	0.0007248768096518988	0.0003176285653291854	441.0
PFLACTENZ-MONOMER	218.5196852156814	122.22086897375894	0.000251394150205928	0.0001275277040555521	1060.5230530610631	0.00004892207141817343	0.000021436811263073175	NaN
PD00230	4.804509655842054	6.8628505857137565	5.486204148715866e-6	7.623623190996952e-6	84.54219499964181	1.5003686474221565e-6	6.574357664641585e-7	6391.0
ADENODEAMIN-MONOMER	256.57068499787283	146.5257593934288	0.0002974918363009036	0.00016176787330503592	1286.7877305999941	0.000074112251581932	0.000032474715468672813	2145.0
ADHE-MONOMER	3665.8118724008004	978.0295275933948	0.004227653919866053	0.0007690208891096924	921.2268711841604	0.002797545770117748	0.0012258364974207779	3919.0
ADENYL-KIN-MONOMER	6452.095552836906	1795.3472546246508	0.007404925696017301	0.001264760212507197	1619.186597627952	0.0012080182369696925	0.0005293328388922205	81.0
GLUCOSE-1-PHOSPHAT-MONOMER	196.00257299132633	172.15533148223324	0.0002262694543063387	0.00018692206097264456	681.3398999440989	0.0000710773775232256	0.000031144885792255665	595.0
