p_expressed	max_monomer_counts	max_mRNA_counts	cistron_idx	gene_name	cistron_name	protein_name
0.25	22	1	4107	G7699	G7699_RNA	G7699-MONOMER
0.5	84	2	4123	G7716	G7716_RNA	G7716-MONOMER
0.5	36	1	4138	G7733	G7733_RNA	G7733-MONOMER
0.5	42	1	4139	G7734	G7734_RNA	G7734-MONOMER
0.25	18	1	4140	G7735	G7735_RNA	G7735-MONOMER
0.25	17	1	4141	G7736	G7736_RNA	G7736-MONOMER
0.25	21	1	4142	G7737	G7737_RNA	G7737-MONOMER
0.25	27	1	4143	G7738	G7738_RNA	G7738-MONOMER
0.75	182	1	4146	G7741	G7741_RNA	G7741-MONOMER
0.25	8	1	4149	G7744	G7744_RNA	G7744-MONOMER
0.75	136	1	4156	G7752	G7752_RNA	G7752-MONOMER
0.5	358	1	4157	G7753	G7753_RNA	G7753-MONOMER
0.75	327	1	4159	G7757	G7757_RNA	G7757-MONOMER
0.25	58	1	4160	G7758	G7758_RNA	G7758-MONOMER
0.25	460	1	4161	G7759	G7759_RNA	G7759-MONOMER
0.25	66	1	4162	G7761	G7761_RNA	MONOMER0-4226
0.25	222	1	4163	G7762	G7762_RNA	MONOMER0-4450
0.25	50	1	4166	G7769	G7769_RNA	MONOMER0-4241
0.5	462	1	4168	G7777	G7777_RNA	G7777-MONOMER
0.75	72	2	4169	G7789	G7789_RNA	G7790-MONOMER
0.25	169	1	4176	G7816	G7816_RNA	G7816-MONOMER
0.25	97	1	4178	G7823	G7823_RNA	G7823-MONOMER
0.75	21	1	4180	G7826	G7826_RNA	DCUR-MONOMER
0.75	1084	1	4181	G7827	G7827_RNA	DCUS-MONOMER
0.75	106	1	4182	G7828	G7828_RNA	G7828-MONOMER
0.75	87	2	4184	G7830	G7830_RNA	G7830-MONOMER
0.75	4613	1	4185	G7832	G7832_RNA	G7832-MONOMER
0.5	187	2	4195	G7842	G7842_RNA	G7842-MONOMER
0.25	123	1	4196	G7843	G7843_RNA	G7843-MONOMER
0.5	397	1	4203	G7850	G7850_RNA	G7850-MONOMER
0.75	119	1	4205	G7852	G7852_RNA	G7852-MONOMER
