name	reactions	genes	compounds
ubiquinol-8 biosynthesis (early decarboxylation)	OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN	G6365	OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-MON // CPLX0-8301
CreCB Two-Component Signal Transduction System	CREC-RXN		
CreCB Two-Component Signal Transduction System	CREB-RXN		
acetate conversion to acetyl-CoA	ACETATE--COA-LIGASE-RXN	EG11448	ACS-MONOMER
ketogluconate metabolism	RXN0-7021	EG12272	MONOMER-43 // CPLX0-235
ketogluconate metabolism	RXN0-7020	EG11648 // G7565	MONOMER0-149 // MONOMER0-148
ketogluconate metabolism	1.1.1.274-RXN		
ketogluconate metabolism	1.1.1.215-RXN	EG12272	MONOMER-43 // CPLX0-235
ketogluconate metabolism	YIAE1-RXN	EG12272	MONOMER-43 // CPLX0-235
D-allose degradation	ALLOSE-KINASE-RXN	EG11956	EG11956-MONOMER
D-allose degradation	RXN0-304	EG11957	EG11957-MONOMER
D-allose degradation	RXN0-303	EG11827	RIB5PISOMB-MONOMER // RIB5PISOMB-CPLX
pyruvate fermentation to acetate IV	ACETATEKIN-RXN	EG10027 // EG11809	ACETATEKINA-MONOMER // GARTRANSFORMYL2-MONOMER
pyruvate fermentation to acetate IV	PHOSACETYLTRANS-RXN	EG20173 // G7288	PHOSACETYLTRANS-MONOMER // PHOSACETYLTRANS-CPLX // G7288-MONOMER // CPLX0-7912
pyruvate fermentation to acetate IV	PYRUVFORMLY-RXN	EG11784 // G7627 // EG10701	EG11784-MONOMER // CPLX0-9871 // KETOBUTFORMLY-INACT-MONOMER // KETOBUTFORMLY-MONOMER // PYRUVFORMLY-CPLX // PYRUVFORMLY-MONOMER // PYRUVFORMLY-INACTIVE-CPLX // CPLX0-9871
GDP-L-fucose biosynthesis I (from GDP-D-mannose)	FCLREDUCT-RXN	EG11788	FCL-MONOMER // CPLX0-3881
GDP-L-fucose biosynthesis I (from GDP-D-mannose)	FCLEPIM-RXN	EG11788	FCL-MONOMER // CPLX0-3881
GDP-L-fucose biosynthesis I (from GDP-D-mannose)	GDPMANDEHYDRA-RXN	EG11787	GDPMANDEHYDRA-MONOMER // GDPMANDEHYDRA-CPLX
demethylmenaquinol-8 biosynthesis I	DMK-RXN	EG11880	DMK-MONOMER
pyrimidine ribonucleosides salvage II	URIDINE-NUCLEOSIDASE-RXN	EG11082 // G6358 // EG12030	EG11082-MONOMER // G6358-MONOMER // CPLX0-8280 // EG12030-MONOMER // CPLX0-7904
pyrimidine ribonucleosides salvage II	CYTIDEAM2-RXN	EG10137	CYTIDEAM-MONOMER // CYTIDEAM-CPLX
L-alanine biosynthesis I	VALINE-PYRUVATE-AMINOTRANSFER-RXN	EG10107	VALINE-PYRUVATE-AMINOTRANSFER-MONOMER
L-asparagine biosynthesis I	ASNSYNB-RXN	EG10092	ASNSYNB-MONOMER // ASNSYNB-CPLX
glycine betaine biosynthesis I (Gram-negative bacteria)	BADH-RXN	EG10110	BADH-MONOMER // BADH-CPLX
glycine betaine biosynthesis I (Gram-negative bacteria)	CHD-RXN	EG10109	CHD-MONOMER
lipid A-core biosynthesis (<i>E. coli</i> K-12)	RXN-22463	EG11339	EG11339-MONOMER
lipid A-core biosynthesis (<i>E. coli</i> K-12)	RXN-22462	EG11341	EG11341-MONOMER
lipid A-core biosynthesis (<i>E. coli</i> K-12)	RXN-22461	EG11340	EG11340-MONOMER
lipid A-core biosynthesis (<i>E. coli</i> K-12)	RXN0-5127	EG11423	EG11423-MONOMER
lipid A-core biosynthesis (<i>E. coli</i> K-12)	RXN0-5126	EG11353	EG11353-MONOMER
lipid A-core biosynthesis (<i>E. coli</i> K-12)	RXN0-5125	EG11352	EG11352-MONOMER
lipid A-core biosynthesis (<i>E. coli</i> K-12)	RXN0-5124	EG11351	EG11351-MONOMER
lipid A-core biosynthesis (<i>E. coli</i> K-12)	RXN0-5123	EG11425	EG11425-MONOMER
lipid A-core biosynthesis (<i>E. coli</i> K-12)	RXN0-5061	EG12210	EG12210-MONOMER
lipid A-core biosynthesis (<i>E. coli</i> K-12)	RXN0-5118	EG11189	EG11189-MONOMER
D-galactarate degradation I	GKI-RXN	EG11175 // G6283	GKI-MONOMER // GLY3KIN-MONOMER
D-galactarate degradation I	GALACTARDEHYDRA-RXN	EG12522	GALACTARDEHYDRA-MONOMER // CPLX0-8537
D-galactarate degradation I	TSA-REDUCT-RXN	EG11176	TSA-REDUCT-MONOMER
D-galactarate degradation I	KDGALDOL-RXN	EG10016	KDGALDOL-MONOMER // CPLX0-7615
hydrogen to dimethyl sulfoxide electron transfer	RXN0-7399	EG11799 // EG11800 // G7554 // EG11801	HYBA-MONOMER // FORMHYDROG2-CPLX // CPLX0-8762 // EG11800-MONOMER // FORMHYDROG2-CPLX // CPLX0-8762 // MONOMER0-145 // FORMHYDROG2-CPLX // CPLX0-8762 // HYBC-MONOMER // FORMHYDROG2-CPLX // CPLX0-8762
hydrogen to dimethyl sulfoxide electron transfer	DIMESULFREDUCT-RXN	EG10234 // EG10233 // EG10232	DMSC-MONOMER // DIMESULFREDUCT-CPLX // DMSB-MONOMER // DIMESULFREDUCT-CPLX // DMSA-MONOMER // DIMESULFREDUCT-CPLX
L-lactaldehyde degradation (anaerobic)	LACTALDREDUCT-RXN	EG10351	LACTALDREDUCT-MONOMER // LACTALDREDUCT-CPLX
3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	HCAMULTI-RXN	G7334 // G7336 // M015 // M009	HCAC-MONOMER // HCAMULTI-CPLX // HCAD-MONOMER // HCAMULTI-CPLX // HCAA2-MONOMER // HCAMULTI-CPLX // PHENYLPRODIOXY-MONOMER // HCAMULTI-CPLX
3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	PHENPRODIOLDEHYDROG-RXN	G7335	PHENPRODIOLDEHYDROG-MONOMER
3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	MHPHYDROXY-RXN	M010	MHPHYDROXY-MONOMER
3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	1.13.11.16-RXN	M011	DHPDIOXYGEN-MONOMER // DHPDIOXYGEN-CPLX
3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	MHPCHYDROL-RXN	M012	MHPCHYDROL-MONOMER // CPLX0-7950
L-aspartate biosynthesis	ASPAMINOTRANS-RXN	EG10096	ASPAMINOTRANS-MONOMER // ASPAMINOTRANS-DIMER
pyridoxal 5'-phosphate salvage I	PYRIDOXINE-4-DEHYDROGENASE-RXN	EG11309	EG11309-MONOMER
pyridoxal 5'-phosphate salvage I	PYRIDOXKIN-RXN	G7259 // G6879	PDXK-MONOMER // PDXK-CPLX // PDXY-MONOMER // CPLX0-8031
pyridoxal 5'-phosphate salvage I	PMPOXI-RXN	EG11487	PDXH-MONOMER // PDXH-CPLX
pyridoxal 5'-phosphate salvage I	PNPOXI-RXN	EG11487	PDXH-MONOMER // PDXH-CPLX
pyridoxal 5'-phosphate salvage I	PYRAMKIN-RXN	G7259	PDXK-MONOMER // PDXK-CPLX
pyridoxal 5'-phosphate salvage I	PNKIN-RXN	G7259	PDXK-MONOMER // PDXK-CPLX
lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>)	UDPNACETYLGLUCOSAMACYLTRANS-RXN	EG10545	UDPNACETYLGLUCOSAMACYLTRANS-MONOMER // UDPNACETYLGLUCOSAMACYLTRANS-CPLX
